names	achrom_contrast_bees	transect	zone	zone2
T1_290	0.200972998	2	purple	purple2
T1_291	0.259740295	2	purple	purple2
T1_292	0.278601433	2	purple	purple2
T1_293	0.291138018	2	purple	purple2
T1_294	0.240457169	2	purple	purple2
T1_295	0.296645755	2	purple	purple2
T1_296	0.335520502	2	purple	purple2
T1_297	0.269402636	2	purple	purple2
T1_298	0.331603299	2	purple	purple2
T1_299	0.260634488	2	purple	purple2
T1_2	0.202777018	2	purple	purple2
T1_300	0.306201447	2	purple	purple2
T1_301	0.321418887	2	purple	purple2
T1_302	0.303704771	2	purple	purple2
T1_303	0.302481136	2	purple	purple2
T1_304	0.329771913	2	purple	purple2
T1_305	0.32485993	2	purple	purple2
T1_306	0.300076355	2	purple	purple2
T1_307	0.311879988	2	purple	purple2
T1_308	0.309913516	2	purple	purple2
T1_309	0.311736634	2	purple	purple2
T1_310	0.288945517	2	purple	purple2
T1_311	0.191344076	2	purple	purple2
T1_313	0.270380953	2	purple	purple2
T1_314	0.270633898	2	purple	purple2
T1_315	0.298490624	2	purple	purple2
T1_316	0.304254199	2	purple	purple2
T1_317	0.214991191	2	purple	purple2
T1_318	0.373663825	2	purple	purple2
T1_319	0.312463608	2	purple	purple2
T1_320	0.239563726	2	purple	purple2
T1_3	0.301366506	2	purple	purple2
T1_4	0.28747441	2	purple	purple2
T1_6	0.284292516	2	purple	purple2
T1_7	0.308383238	2	purple	purple2
T1_8	0.229096491	2	purple	purple2
T1_100	0.33373298	1	yellow	yellow1
T1_21	0.333623223	1	yellow	yellow1
T1_22	0.335977035	1	yellow	yellow1
T1_23	0.332439367	1	yellow	yellow1
T1_24	0.330229886	1	yellow	yellow1
T1_25	0.327210447	1	yellow	yellow1
T1_26	0.330089165	1	yellow	yellow1
T1_27	0.323484335	1	yellow	yellow1
T1_28	0.320381251	1	yellow	yellow1
T1_29	0.326562044	1	yellow	yellow1
T1_30	0.332337027	1	yellow	yellow1
T1_31	0.327928492	1	yellow	yellow1
T1_32	0.335198982	1	yellow	yellow1
T1_33	0.322796982	1	yellow	yellow1
T1_34	0.349172529	1	yellow	yellow1
T1_35	0.337649646	1	yellow	yellow1
T1_36	0.329572978	1	yellow	yellow1
T1_37	0.335975793	1	yellow	yellow1
T1_38	0.316715167	1	yellow	yellow1
T1_39	0.318587991	1	yellow	yellow1
T1_40	0.331666706	1	yellow	yellow1
T1_41	0.343686997	1	yellow	yellow1
T1_42	0.336798196	1	yellow	yellow1
T1_43	0.32687936	1	yellow	yellow1
T1_44	0.337324491	1	yellow	yellow1
T1_45	0.331085594	1	yellow	yellow1
T1_46	0.321187707	1	yellow	yellow1
T1_47	0.33889124	1	yellow	yellow1
T1_48	0.318307861	1	yellow	yellow1
T1_49	0.327694557	1	yellow	yellow1
T1_50	0.349286946	1	yellow	yellow1
T1_51	0.336501048	1	yellow	yellow1
T1_52	0.350801594	1	yellow	yellow1
T1_53	0.34700052	1	yellow	yellow1
T1_54	0.242742432	1	yellow	yellow1
T1_55	0.348058486	1	yellow	yellow1
T1_56	0.345027836	1	yellow	yellow1
T1_57	0.324362933	1	yellow	yellow1
T1_58	0.321308899	1	yellow	yellow1
T1_59	0.363890693	1	yellow	yellow1
T1_60	0.349746244	1	yellow	yellow1
T1_61	0.385752033	1	yellow	yellow1
T1_62	0.350338099	1	yellow	yellow1
T1_63	0.353989711	1	yellow	yellow1
T1_64	0.347614606	1	yellow	yellow1
T1_65	0.347233335	1	yellow	yellow1
T1_66	0.372277219	1	yellow	yellow1
T1_67	0.362085535	1	yellow	yellow1
T1_68	0.380832545	1	yellow	yellow1
T1_69	0.360432051	1	yellow	yellow1
T1_70	0.320941604	1	yellow	yellow1
T1_71	0.366397843	1	yellow	yellow1
T1_72	0.344466515	1	yellow	yellow1
T1_73	0.340012839	1	yellow	yellow1
T1_74	0.344449586	1	yellow	yellow1
T1_75	0.203417362	1	yellow	yellow1
T1_76	0.342557983	1	yellow	yellow1
T1_77	0.343153806	1	yellow	yellow1
T1_78	0.353936957	1	yellow	yellow1
T1_79	0.336645776	1	yellow	yellow1
T1_80	0.350232431	1	yellow	yellow1
T1_81	0.334793922	1	yellow	yellow1
T1_82	0.352625419	1	yellow	yellow1
T1_83	0.326203781	1	yellow	yellow1
T1_84	0.326574419	1	yellow	yellow1
T1_85	0.325996878	1	yellow	yellow1
T1_86	0.318883289	1	yellow	yellow1
T1_87	0.334551494	1	yellow	yellow1
T1_88	0.36522893	1	yellow	yellow1
T1_89	0.355878817	1	yellow	yellow1
T1_90	0.347803423	1	yellow	yellow1
T1_91	0.324347219	1	yellow	yellow1
T1_92	0.326326832	1	yellow	yellow1
T1_93	0.34592427	1	yellow	yellow1
T1_94	0.349701618	1	yellow	yellow1
T1_95	0.344374958	1	yellow	yellow1
T1_96	0.336449768	1	yellow	yellow1
T1_97	0.153516573	1	yellow	yellow1
T1_98	0.331578619	1	yellow	yellow1
T1_99	0.33161508	1	yellow	yellow1
T1_401	0.317841442	2	yellow	yellow2
T1_402	0.33748105	2	yellow	yellow2
T1_403	0.279195791	2	yellow	yellow2
T1_404	0.338862521	2	yellow	yellow2
T1_405	0.339105681	2	yellow	yellow2
T1_406	0.335254499	2	yellow	yellow2
T1_407	0.292315371	2	yellow	yellow2
T1_408	0.287916054	2	yellow	yellow2
T1_409	0.31586629	2	yellow	yellow2
T1_410	0.327105909	2	yellow	yellow2
T1_411	0.319451377	2	yellow	yellow2
T1_412	0.331277778	2	yellow	yellow2
T1_413	0.320434323	2	yellow	yellow2
T1_414	0.332833466	2	yellow	yellow2
T1_415	0.303921522	2	yellow	yellow2
T1_416	0.318112168	2	yellow	yellow2
T1_417	0.282786586	2	yellow	yellow2
T1_418	0.339453993	2	yellow	yellow2
T1_419	0.315845231	2	yellow	yellow2
T1_420	0.317058926	2	yellow	yellow2
T1_421	0.278134653	2	yellow	yellow2
T1_422	0.339517432	2	yellow	yellow2
T1_423	0.319533984	2	yellow	yellow2
T1_424	0.317562091	2	yellow	yellow2
T1_425	0.31452062	2	yellow	yellow2
T1_426	0.320249386	2	yellow	yellow2
T1_427	0.306655149	2	yellow	yellow2
T1_428	0.322096437	2	yellow	yellow2
T1_429	0.324241494	2	yellow	yellow2
T1_430	0.328079307	2	yellow	yellow2
T1_431	0.290831777	2	yellow	yellow2
T1_432	0.325036744	2	yellow	yellow2
T1_433	0.33698486	2	yellow	yellow2
T1_434	0.306515951	2	yellow	yellow2
T1_435	0.329284241	2	yellow	yellow2
T1_436	0.33392828	2	yellow	yellow2
T1_437	0.32021656	2	yellow	yellow2
T1_438	0.32105389	2	yellow	yellow2
T1_439	0.310088862	2	yellow	yellow2
T1_441	0.303402186	2	yellow	yellow2
T1_442	0.32646167	2	yellow	yellow2
T1_443	0.313120176	2	yellow	yellow2
T1_444	0.313078887	2	yellow	yellow2
T1_445	0.345316349	2	yellow	yellow2
T1_448	0.311186582	2	yellow	yellow2
T1_450	0.330822544	2	yellow	yellow2
T1_451	0.312395536	2	yellow	yellow2
T1_452	0.318595795	2	yellow	yellow2
T1_453	0.271575679	2	yellow	yellow2
T1_454	0.32187591	2	yellow	yellow2
T1_455	0.331255349	2	yellow	yellow2
T1_456	0.318374933	2	yellow	yellow2
T1_457	0.345276873	2	yellow	yellow2
T1_458	0.32053412	2	yellow	yellow2
T1_459	0.302737199	2	yellow	yellow2
T1_460	0.308287693	2	yellow	yellow2
T1_461	0.289548129	2	yellow	yellow2
T1_462	0.327650043	2	yellow	yellow2
T1_463	0.328986961	2	yellow	yellow2
T1_464	0.30551886	2	yellow	yellow2
T1_465	0.278520591	2	yellow	yellow2
T1_466	0.315489759	2	yellow	yellow2
T1_467	0.312250904	2	yellow	yellow2
T1_470	0.342722385	2	yellow	yellow2
T1_471	0.322258767	2	yellow	yellow2
T1_473	0.32567044	2	yellow	yellow2
T1_474	0.31815751	2	yellow	yellow2
T1_475	0.326358094	2	yellow	yellow2
T1_476	0.32594804	2	yellow	yellow2
T1_477	0.303140104	2	yellow	yellow2
T1_478	0.332172603	2	yellow	yellow2
T1_479	0.315073956	2	yellow	yellow2
T1_480	0.334915778	2	yellow	yellow2
