Transecto	Zona	Zona2	Muestra	A450nm	A653nm	A0.24x653nm	A450-0.24x653	Area_petalo	Abs_corrected_area
1	M	M1	57	0.2078	0.1216	0.029184	0.0862	5.81	0.014836489
1	M	M1	58	0.0611	0.0227	0.005448	0.0384	6.8	0.005647059
1	M	M1	59	0.398	0.109	0.02616	0.289	5.43	0.053222836
1	M	M1	60	0.4787	0.0417	0.010008	0.437	6.01	0.072712146
1	M	M1	61	0.1068	0.0781	0.018744	0.0287	7.09	0.004047955
1	M	M1	62	0.1971	0.0118	0.002832	0.1853	6.51	0.028463902
1	M	M1	63	0.2695	0.0706	0.016944	0.1989	6.46	0.030789474
1	M	M1	64	0.3775	0.0404	0.009696	0.3371	6.67	0.05053973
1	M	M1	65	0.3845	0.0261	0.006264	0.3584	6.03	0.059436153
1	M	M1	67	0.4089	0.1706	0.040944	0.2383	4.78	0.049853556
1	M	M1	68	0.4334	0.1846	0.044304	0.2488	4.52	0.055044248
1	M	M1	69	0.4867	0.1118	0.026832	0.3749	5.75	0.0652
1	M	M1	70	0.2149	0.1691	0.040584	0.0458	6.37	0.007189953
1	M	M1	71	0.3815	0.1304	0.031296	0.2511	6.18	0.040631068
1	M	M1	72	0.8206	0.2177	0.052248	0.6029	6.55	0.092045802
1	M	M1	73	0.424	0.1772	0.042528	0.2468	6.2	0.039806452
1	M	M1	74	0.1845	0.1006	0.024144	0.0839	5.62	0.014928826
1	M	M1	75	0.1542	0.0993	0.023832	0.0549	6.11	0.00898527
1	M	M1	76	0.1587	0.1004	0.024096	0.0583	6.14	0.009495114
1	M	M1	77	0.2648	0.1561	0.037464	0.1087	6.92	0.015708092
1	M	M1	78	0.1325	0.1002	0.024048	0.0323	5.95	0.005428571
1	M	M1	79	0.2291	0.0779	0.018696	0.1512	5.96	0.025369128
1	M	M1	80	0.7763	0.1599	0.038376	0.6164	5.66	0.108904594
1	M	M1	81	0.4257	0.1049	0.025176	0.3208	5.29	0.060642722
1	M	M1	82	0.1271	0.0989	0.023736	0.0282	5.6	0.005035714
1	M	M1	83	0.1555	0.1158	0.027792	0.0397	6.87	0.005778748
1	M	M1	84	0.2809	0.1164	0.027936	0.1645	5.54	0.029693141
1	M	M1	85	0.4936	0.0619	0.014856	0.4317	5.77	0.074818024
1	M	M1	86	0.1363	0.0538	0.012912	0.0825	6.52	0.012653374
1	M	M1	87	0.6071	0.0979	0.023496	0.5092	6.86	0.074227405
1	M	M1	88	0.1292	0.0839	0.020136	0.0453	4.02	0.011268657
1	M	M1	89	0.2076	0.0939	0.022536	0.1137	5.1	0.022294118
1	M	M1	90	0.1986	0.1328	0.031872	0.0658	5.81	0.011325301
1	M	M1	91	0.1654	0.0999	0.023976	0.0655	7.15	0.009160839
1	M	M1	92	1.037	0.1623	0.038952	0.8747	6.14	0.142459283
1	M	M1	93	0.3122	0.0769	0.018456	0.2353	4.82	0.048817427
1	M	M1	94	0.2128	0.0937	0.022488	0.1191	5.49	0.021693989
1	M	M1	95	0.2567	0.1098	0.026352	0.1469	5.85	0.025111111
1	M	M1	96	0.8625	0.1501	0.036024	0.7124	6.82	0.104457478
1	M	M1	97	0.5223	0.1041	0.024984	0.4182	5.64	0.074148936
1	M	M1	98	0.6766	0.0382	0.009168	0.6384	4.88	0.130819672
1	M	M1	99	1.1326	0.069	0.01656	1.0636	5.66	0.187915194
1	H	H1	101	0.0401	0.0145	0.00348	0.0256	6.64	0.003855422
1	H	H1	105	0.0014	0.0006	0.000144	0.0008	6.53	0.000122511
1	H	H1	112	0.0087	0.0044	0.001056	0.0043	6.63	0.000648567
